UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,YEAR,QUARTER,CURR_ASSETS,FLIGHT_EQUIP,ASSETS,CURR_LIABILITIES,NON_REC_LIAB,DEF_CREDITS
TZ,ATA Airlines d/b/a ATA,TZ,American Trans Air Inc.,1994,3,89875.02,313716.63,305260.07,135839.77,55770.32,35625.12
ZW,Air Wisconsin Airlines Corp,ZW,Air Wisconsin Airlines Corp,1999,2,27453.98,,33523.92,23462.53,6577.89,1449.32
U7,USA Jet Airlines Inc.,U7,USA Jet Airlines Inc.,2002,3,23796.27,111489.61,63062.73,1085.22,35763.78,6740.17
NJ,Vanguard Airlines Inc.,NJ,Vanguard Airlines Inc.,2001,3,13977.7,3615.11,32491.76,56395.15,207.57,
TZ,ATA Airlines d/b/a ATA,TZ,American Trans Air Inc.,1999,3,237542.99,731405.65,748505.14,281017.37,282894.03,82407.98
UA,United Air Lines Inc.,UA,United Air Lines Inc.,1993,2,3248468,7878491,12355148,5219013,5090990,1424077
9L,Colgan Air,9L,Colgan Air,2009,3,25074.12,322487.58,634810.01,-7892.8,609056.04,33733.99
M6,Amerijet International,M6,Amerijet International,2002,1,15938.52,,21350.84,10054.66,7706.62,
WE,Centurion Cargo Inc.,WE,Centurion Cargo Inc.,2013,1,48116.52,0,81155.68,70627.6,8239.78,
JKQ,Express One International Inc.,JKQ,Express One International Inc.,1998,1,18701.89,88821.95,75590.01,14662.51,35891.92,5743.58
TCQ,Express.Net Airlines,TCQ,Express.Net Airlines,2004,4,15564,9810,23271,9421,,
JW,Arrow Air Inc.,JW,Arrow Air Inc.,1990,1,11325.08,2368.43,15718.54,4804.89,,1395.7
HQ (1),Business Express,HQ,Business Express,1992,4,19803,30443,84406,25670,30732,35574
MG,Champion Air,MG,MGM Grand Air Inc.,1996,3,6379.91,544.77,8660.9,15851.44,1385.11,
PT (1),Capital Cargo International,CCQ,Capital Cargo International,2001,2,8802,35777,43190,9783,22926,1306
